DPTOMPIO,DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CCNCT
05001,05,001,MEDELLÍN,05001
05002,05,002,ABEJORRAL,05002
05004,05,004,ABRIAQUÍ,05004
05021,05,021,ALEJANDRÍA,05021
05030,05,030,AMAGÁ,05030
05031,05,031,AMALFI,05031
05034,05,034,ANDES,05034
05036,05,036,ANGELÓPOLIS,05036
05038,05,038,ANGOSTURA,05038
05040,05,040,ANORÍ,05040
05042,05,042,SANTA FÉ DE ANTIOQUIA,05042
05044,05,044,ANZÁ,05044
05045,05,045,APARTADÓ,05045
05051,05,051,ARBOLETES,05051
05055,05,055,ARGELIA,05055
05059,05,059,ARMENIA,05059
05079,05,079,BARBOSA,05079
05086,05,086,BELMIRA,05086
05088,05,088,BELLO,05088
05091,05,091,BETANIA,05091
05093,05,093,BETULIA,05093
05101,05,101,CIUDAD BOLÍVAR,05101
05107,05,107,BRICEÑO,05107
05113,05,113,BURITICÁ,05113
05120,05,120,CÁCERES,05120
05125,05,125,CAICEDO,05125
05129,05,129,CALDAS,05129
05134,05,134,CAMPAMENTO,05134
05138,05,138,CAÑASGORDAS,05138
05142,05,142,CARACOLÍ,05142
05145,05,145,CARAMANTA,05145
05147,05,147,CAREPA,05147
05148,05,148,EL CARMEN DE VIBORAL,05148
05150,05,150,CAROLINA,05150
05154,05,154,CAUCASIA,05154
05172,05,172,CHIGORODÓ,05172
05190,05,190,CISNEROS,05190
05197,05,197,COCORNÁ,05197
05206,05,206,CONCEPCIÓN,05206
05209,05,209,CONCORDIA,05209
05212,05,212,COPACABANA,05212
05234,05,234,DABEIBA,05234
05237,05,237,DONMATÍAS,05237
05240,05,240,EBÉJICO,05240
05250,05,250,EL BAGRE,05250
05264,05,264,ENTRERRÍOS,05264
05266,05,266,ENVIGADO,05266
05282,05,282,FREDONIA,05282
05284,05,284,FRONTINO,05284
05306,05,306,GIRALDO,05306
05308,05,308,GIRARDOTA,05308
05310,05,310,GÓMEZ PLATA,05310
05313,05,313,GRANADA,05313
05315,05,315,GUADALUPE,05315
05318,05,318,GUARNE,05318
05321,05,321,GUATAPÉ,05321
05347,05,347,HELICONIA,05347
05353,05,353,HISPANIA,05353
05360,05,360,ITAGÜÍ,05360
05361,05,361,ITUANGO,05361
05364,05,364,JARDÍN,05364
05368,05,368,JERICÓ,05368
05376,05,376,LA CEJA,05376
05380,05,380,LA ESTRELLA,05380
05390,05,390,LA PINTADA,05390
05400,05,400,LA UNIÓN,05400
05411,05,411,LIBORINA,05411
05425,05,425,MACEO,05425
05440,05,440,MARINILLA,05440
05467,05,467,MONTEBELLO,05467
05475,05,475,MURINDÓ,05475
05480,05,480,MUTATÁ,05480
05483,05,483,NARIÑO,05483
05490,05,490,NECOCLÍ,05490
05495,05,495,NECHÍ,05495
05501,05,501,OLAYA,05501
05541,05,541,PEÑOL,05541
05543,05,543,PEQUE,05543
05576,05,576,PUEBLORRICO,05576
05579,05,579,PUERTO BERRÍO,05579
05585,05,585,PUERTO NARE,05585
05591,05,591,PUERTO TRIUNFO,05591
05604,05,604,REMEDIOS,05604
05607,05,607,RETIRO,05607
05615,05,615,RIONEGRO,05615
05628,05,628,SABANALARGA,05628
05631,05,631,SABANETA,05631
05642,05,642,SALGAR,05642
05647,05,647,SAN ANDRÉS DE CUERQUÍA,05647
05649,05,649,SAN CARLOS,05649
05652,05,652,SAN FRANCISCO,05652
05656,05,656,SAN JERÓNIMO,05656
05658,05,658,SAN JOSÉ DE LA MONTAÑA,05658
05659,05,659,SAN JUAN DE URABÁ,05659
05660,05,660,SAN LUIS,05660
05664,05,664,SAN PEDRO DE LOS MILAGROS,05664
05665,05,665,SAN PEDRO DE URABÁ,05665
05667,05,667,SAN RAFAEL,05667
05670,05,670,SAN ROQUE,05670
05674,05,674,SAN VICENTE FERRER,05674
05679,05,679,SANTA BÁRBARA,05679
05686,05,686,SANTA ROSA DE OSOS,05686
05690,05,690,SANTO DOMINGO,05690
05697,05,697,EL SANTUARIO,05697
05736,05,736,SEGOVIA,05736
05756,05,756,SONSÓN,05756
05761,05,761,SOPETRÁN,05761
05789,05,789,TÁMESIS,05789
05790,05,790,TARAZÁ,05790
05792,05,792,TARSO,05792
05809,05,809,TITIRIBÍ,05809
05819,05,819,TOLEDO,05819
05837,05,837,TURBO,05837
05842,05,842,URAMITA,05842
05847,05,847,URRAO,05847
05854,05,854,VALDIVIA,05854
05856,05,856,VALPARAÍSO,05856
05858,05,858,VEGACHÍ,05858
05861,05,861,VENECIA,05861
05873,05,873,VIGÍA DEL FUERTE,05873
05885,05,885,YALÍ,05885
05887,05,887,YARUMAL,05887
05890,05,890,YOLOMBÓ,05890
05893,05,893,YONDÓ,05893
05895,05,895,ZARAGOZA,05895
08001,08,001,BARRANQUILLA,08001
08078,08,078,BARANOA,08078
08137,08,137,CAMPO DE LA CRUZ,08137
08141,08,141,CANDELARIA,08141
08296,08,296,GALAPA,08296
08372,08,372,JUAN DE ACOSTA,08372
08421,08,421,LURUACO,08421
08433,08,433,MALAMBO,08433
08436,08,436,MANATÍ,08436
08520,08,520,PALMAR DE VARELA,08520
08549,08,549,PIOJÓ,08549
08558,08,558,POLONUEVO,08558
08560,08,560,PONEDERA,08560
08573,08,573,PUERTO COLOMBIA,08573
08606,08,606,REPELÓN,08606
08634,08,634,SABANAGRANDE,08634
08638,08,638,SABANALARGA,08638
08675,08,675,SANTA LUCÍA,08675
08685,08,685,SANTO TOMÁS,08685
08758,08,758,SOLEDAD,08758
08770,08,770,SUAN,08770
08832,08,832,TUBARÁ,08832
08849,08,849,USIACURÍ,08849
11001,11,001,"BOGOTÁ, D.C.",11001
13001,13,001,CARTAGENA DE INDIAS,13001
13006,13,006,ACHÍ,13006
13030,13,030,ALTOS DEL ROSARIO,13030
13042,13,042,ARENAL,13042
13052,13,052,ARJONA,13052
13062,13,062,ARROYOHONDO,13062
13074,13,074,BARRANCO DE LOBA,13074
13140,13,140,CALAMAR,13140
13160,13,160,CANTAGALLO,13160
13188,13,188,CICUCO,13188
13212,13,212,CÓRDOBA,13212
13222,13,222,CLEMENCIA,13222
13244,13,244,EL CARMEN DE BOLÍVAR,13244
13248,13,248,EL GUAMO,13248
13268,13,268,EL PEÑÓN,13268
13300,13,300,HATILLO DE LOBA,13300
13430,13,430,MAGANGUÉ,13430
13433,13,433,MAHATES,13433
13440,13,440,MARGARITA,13440
13442,13,442,MARÍA LA BAJA,13442
13458,13,458,MONTECRISTO,13458
13468,13,468,MOMPÓS,13468
13473,13,473,MORALES,13473
13490,13,490,NOROSÍ,13490
13549,13,549,PINILLOS,13549
13580,13,580,REGIDOR,13580
13600,13,600,RÍO VIEJO,13600
13620,13,620,SAN CRISTÓBAL,13620
13647,13,647,SAN ESTANISLAO,13647
13650,13,650,SAN FERNANDO,13650
13654,13,654,SAN JACINTO,13654
13655,13,655,SAN JACINTO DEL CAUCA,13655
13657,13,657,SAN JUAN NEPOMUCENO,13657
13667,13,667,SAN MARTÍN DE LOBA,13667
13670,13,670,SAN PABLO,13670
13673,13,673,SANTA CATALINA,13673
13683,13,683,SANTA ROSA,13683
13688,13,688,SANTA ROSA DEL SUR,13688
13744,13,744,SIMITÍ,13744
13760,13,760,SOPLAVIENTO,13760
13780,13,780,TALAIGUA NUEVO,13780
13810,13,810,TIQUISIO,13810
13836,13,836,TURBACO,13836
13838,13,838,TURBANÁ,13838
13873,13,873,VILLANUEVA,13873
13894,13,894,ZAMBRANO,13894
15001,15,001,TUNJA,15001
15022,15,022,ALMEIDA,15022
15047,15,047,AQUITANIA,15047
15051,15,051,ARCABUCO,15051
15087,15,087,BELÉN,15087
15090,15,090,BERBEO,15090
15092,15,092,BETÉITIVA,15092
15097,15,097,BOAVITA,15097
15104,15,104,BOYACÁ,15104
15106,15,106,BRICEÑO,15106
15109,15,109,BUENAVISTA,15109
15114,15,114,BUSBANZÁ,15114
15131,15,131,CALDAS,15131
15135,15,135,CAMPOHERMOSO,15135
15162,15,162,CERINZA,15162
15172,15,172,CHINAVITA,15172
15176,15,176,CHIQUINQUIRÁ,15176
15180,15,180,CHISCAS,15180
15183,15,183,CHITA,15183
15185,15,185,CHITARAQUE,15185
15187,15,187,CHIVATÁ,15187
15189,15,189,CIÉNEGA,15189
15204,15,204,CÓMBITA,15204
15212,15,212,COPER,15212
15215,15,215,CORRALES,15215
15218,15,218,COVARACHÍA,15218
15223,15,223,CUBARÁ,15223
15224,15,224,CUCAITA,15224
